Time,Voltage
0,-46
0,-28
0,-27
0,-44
0,-26
0,-42
0,-25
0,-24
0,-40
0,-43
0,-22
0,-47
0,-18
0,-21
0,-35
0,-45
0,-19
0,-23
0,-29
0,-41
0,-32
0,-36
0,-34
0,-33
0,-37
0,-38
0,-31
0,-20
0,-39
0,-30
1,-41
1,-34
1,-28
1,-46
1,-36
1,-21
1,-33
1,-40
1,-22
1,-47
1,-20
1,-37
1,-43
1,-32
1,-29
1,-24
1,-42
1,-27
1,-25
1,-31
1,-30
1,-26
1,-38
1,-23
1,-39
1,-35
1,-45
1,-19
1,-16
1,-17
1,-18
1,-44
2,-16
2,-17
2,-15
2,-18
3,-15
3,-16
3,-17
4,-16
4,-15
4,-17
5,-15
5,-16
5,-17
6,-15
6,-16
6,-17
7,-17
7,-15
7,-16
8,-16
8,-17
8,-15
9,-16
9,-15
9,-17
10,-15
10,-16
10,-17
11,-16
11,-15
11,-17
12,-15
12,-16
12,-17
13,-15
13,-17
13,-16
14,-15
14,-16
14,-17
15,-17
15,-18
15,-15
15,-16
16,-36
16,-35
16,-39
16,-44
16,-38
16,-45
16,-46
16,-41
16,-42
16,-43
16,-37
16,-40
16,-29
16,-16
16,-28
16,-26
16,-24
16,-22
16,-30
16,-18
16,-23
16,-31
16,-21
16,-32
16,-17
16,-20
16,-33
16,-19
16,-34
16,-25
16,-27
17,-34
17,-44
17,-35
17,-22
17,-43
17,-21
17,-18
17,-46
17,-20
17,-23
17,-47
17,-19
17,-42
17,-30
17,-45
17,-37
17,-31
17,-28
17,-39
17,-29
17,-27
17,-32
17,-26
17,-25
17,-36
17,-41
17,-33
17,-24
17,-40
17,-38
21,-62
21,-56
21,-61
21,-47
21,-63
21,-60
21,-48
21,-59
21,-58
21,-64
21,-57
22,-63
22,-59
22,-61
22,-47
22,-60
22,-48
22,-58
22,-49
22,-57
22,-64
22,-62
22,-65
22,-56
23,-64
23,-47
23,-58
23,-49
23,-60
23,-62
23,-59
23,-63
23,-61
23,-57
23,-65
23,-56
23,-48
24,-63
24,-56
24,-49
24,-47
24,-57
24,-48
24,-64
25,-46
25,-63
25,-64
25,-48
25,-47
25,-49
26,-47
26,-48
26,-59
26,-60
26,-58
26,-46
26,-62
26,-57
26,-64
26,-63
26,-56
26,-61
27,-61
27,-62
27,-47
27,-60
27,-65
27,-63
27,-56
27,-64
27,-57
27,-59
27,-48
27,-58
28,-60
28,-56
28,-64
28,-62
28,-57
28,-49
28,-61
28,-59
28,-63
28,-48
28,-47
28,-58
29,-58
29,-49
29,-57
29,-59
29,-62
29,-47
29,-60
29,-48
29,-61
29,-64
29,-63
30,-63
30,-48
30,-47
30,-64
30,-49
30,-57
31,-49
31,-56
31,-64
31,-57
31,-61
31,-63
31,-60
31,-58
31,-59
31,-47
31,-62
31,-48
32,-58
32,-61
32,-57
32,-49
32,-62
32,-65
32,-48
32,-60
32,-64
32,-59
32,-56
32,-63
33,-61
33,-48
33,-57
33,-65
33,-58
33,-60
33,-49
33,-63
33,-56
33,-64
33,-59
33,-62
34,-48
34,-49
34,-50
34,-57
34,-64
35,-49
35,-50
35,-48
36,-49
36,-50
36,-48
37,-48
37,-50
37,-49
37,-51
38,-49
38,-51
38,-54
38,-52
38,-56
38,-53
38,-48
38,-55
38,-50
39,-58
39,-48
39,-60
39,-51
39,-53
39,-57
39,-50
39,-59
39,-56
39,-52
39,-54
39,-55
39,-49
40,-54
40,-51
40,-53
40,-56
40,-60
40,-52
40,-62
40,-63
40,-58
40,-61
40,-59
40,-57
40,-55
41,-60
41,-55
41,-61
41,-54
41,-57
41,-59
41,-51
41,-63
41,-62
41,-52
41,-53
41,-56
41,-58
42,-59
42,-47
42,-61
42,-58
42,-48
42,-57
42,-62
42,-46
42,-51
42,-49
42,-60
42,-52
42,-56
42,-53
42,-50
42,-55
42,-54
43,-43
43,-44
43,-48
43,-45
43,-47
43,-49
43,-46
44,-44
44,-43
44,-45
44,-47
44,-46
45,-45
45,-46
45,-43
45,-44
46,-45
46,-44
47,-45
47,-44
48,-44
48,-45
49,-44
49,-45
50,-45
50,-44
50,-43
51,-44
51,-43
51,-45
52,-44
52,-43
53,-44
53,-42
53,-43
54,-42
54,-44
54,-43
55,-44
55,-43
56,-44
56,-43
57,-44
57,-45
57,-43
58,-45
58,-44
58,-43
59,-44
59,-45
59,-43
60,-45
60,-44
61,-45
61,-46
61,-44
62,-45
62,-46
63,-47
63,-46
63,-45
64,-47
64,-46
64,-48
65,-48
65,-47
65,-46
66,-48
66,-47
67,-47
67,-48
68,-48
68,-47
69,-48
69,-47
70,-47
70,-48
71,-47
71,-48
72,-47
72,-48
73,-47
73,-48
74,-47
74,-48
75,-47
75,-48
76,-47
76,-48
77,-48
77,-47
78,-48
78,-47
79,-46
79,-47
79,-48
80,-46
80,-48
80,-47
81,-48
81,-46
81,-47
82,-47
82,-46
82,-48
83,-48
83,-46
83,-47
84,-46
84,-47
84,-48
85,-46
85,-48
85,-47
86,-46
86,-48
86,-47
87,-46
87,-47
87,-48
88,-47
88,-48
89,-48
89,-47
90,-48
90,-47
91,-48
91,-49
91,-47
92,-47
92,-48
93,-48
93,-47
94,-48
94,-47
95,-48
95,-47
96,-48
96,-47
97,-48
97,-47
98,-48
98,-47
99,-48
99,-47
100,-46
100,-48
100,-47
101,-46
101,-47
101,-48
102,-48
102,-47
102,-46
103,-48
103,-47
104,-48
104,-49
104,-47
105,-48
105,-49
105,-47
106,-48
106,-47
106,-49
107,-49
107,-48
108,-49
108,-48
109,-49
109,-48
110,-49
110,-48
111,-48
111,-50
111,-49
112,-49
112,-47
112,-48
112,-50
113,-49
113,-57
113,-54
113,-48
113,-53
113,-52
113,-56
113,-51
113,-55
113,-58
113,-50
114,-61
114,-62
114,-55
114,-56
114,-51
114,-58
114,-50
114,-53
114,-59
114,-54
114,-57
114,-60
114,-49
114,-52
115,-58
115,-50
115,-61
115,-57
115,-55
115,-59
115,-63
115,-51
115,-54
115,-53
115,-56
115,-52
115,-62
115,-60
116,-57
116,-54
116,-53
116,-50
116,-62
116,-60
116,-52
116,-48
116,-58
116,-55
116,-51
116,-61
116,-49
116,-56
116,-59
116,-63
117,-49
117,-52
117,-56
117,-60
117,-45
117,-50
117,-55
117,-47
117,-46
117,-51
117,-48
117,-53
117,-54
117,-61
118,-46
118,-44
118,-45
118,-49
118,-43
118,-48
118,-47
119,-45
119,-43
119,-46
119,-44
120,-45
120,-44
120,-43
121,-44
121,-43
121,-45
122,-43
122,-44
122,-45
123,-44
123,-45
123,-43
124,-45
124,-44
124,-43
125,-45
125,-43
125,-44
126,-44
126,-45
126,-43
127,-44
127,-42
127,-43
128,-42
128,-43
128,-44
129,-42
129,-43
129,-44
130,-42
130,-43
130,-44
131,-42
131,-44
131,-43
132,-43
132,-44
133,-44
133,-43
133,-45
134,-44
134,-45
134,-43
135,-44
135,-45
136,-44
136,-46
136,-45
137,-47
137,-46
137,-45
138,-46
138,-45
138,-47
139,-48
139,-46
139,-47
140,-46
140,-47
140,-48
141,-47
141,-48
142,-47
142,-48
143,-47
143,-48
143,-46
144,-46
144,-47
144,-48
145,-47
145,-48
145,-46
146,-46
146,-48
146,-47
147,-48
147,-46
147,-47
148,-46
148,-47
148,-48
149,-48
149,-46
149,-47
150,-48
150,-46
150,-47
151,-48
151,-46
151,-47
152,-48
152,-46
152,-47
153,-47
153,-46
153,-48
154,-48
154,-47
154,-46
155,-46
155,-48
155,-47
156,-47
156,-46
157,-47
157,-46
158,-46
158,-47
159,-47
159,-48
159,-46
160,-48
160,-47
160,-46
161,-46
161,-48
161,-47
162,-46
162,-48
162,-47
163,-46
163,-48
163,-47
164,-46
164,-48
164,-47
165,-47
165,-48
165,-46
166,-47
166,-48
