Time,Voltage
0,-71
0,-65
0,-66
0,-70
1,-70
1,-64
1,-69
1,-65
1,-66
1,-72
1,-71
2,-70
2,-69
2,-66
2,-74
2,-75
2,-65
2,-72
2,-73
2,-64
2,-71
3,-72
3,-70
3,-73
3,-75
3,-71
3,-76
3,-69
3,-64
3,-66
3,-77
3,-65
3,-74
4,-74
4,-73
4,-78
4,-72
4,-64
4,-76
4,-75
4,-71
4,-77
4,-70
4,-66
4,-65
5,-65
5,-64
5,-72
5,-70
5,-73
5,-71
5,-63
5,-77
5,-75
5,-74
5,-76
6,-65
6,-71
6,-63
6,-75
6,-72
6,-70
6,-76
6,-69
6,-64
6,-74
6,-73
7,-71
7,-69
7,-74
7,-70
7,-72
7,-65
7,-73
7,-64
7,-63
8,-64
8,-65
8,-71
8,-70
8,-72
8,-63
9,-76
9,-72
9,-77
9,-64
9,-75
9,-73
9,-74
9,-63
9,-65
9,-71
9,-70
10,-74
10,-73
10,-64
10,-78
10,-72
10,-76
10,-77
10,-75
10,-65
10,-63
10,-71
10,-70
11,-78
11,-77
11,-76
11,-73
11,-65
11,-64
11,-71
11,-72
11,-74
11,-63
11,-70
11,-75
12,-71
12,-73
12,-74
12,-65
12,-70
12,-77
12,-64
12,-75
12,-72
12,-78
12,-69
12,-63
12,-76
13,-76
13,-71
13,-74
13,-65
13,-69
13,-70
13,-77
13,-64
13,-72
13,-78
13,-75
13,-63
13,-73
14,-77
14,-64
14,-78
14,-73
14,-75
14,-72
14,-74
14,-65
14,-76
14,-71
14,-70
15,-75
15,-76
15,-65
15,-64
15,-77
15,-74
16,-64
16,-66
16,-65
17,-66
17,-64
17,-65
18,-66
18,-65
19,-66
19,-65
20,-66
20,-65
21,-66
21,-65
22,-65
22,-66
23,-66
23,-65
24,-65
24,-66
25,-65
25,-66
26,-66
26,-65
27,-65
27,-66
28,-65
28,-66
29,-65
29,-66
30,-65
30,-66
31,-65
31,-66
32,-65
32,-66
33,-65
33,-64
33,-66
34,-66
34,-64
34,-65
35,-65
35,-64
36,-65
36,-64
36,-63
37,-63
37,-64
37,-65
38,-65
38,-63
38,-64
39,-63
39,-65
39,-64
40,-64
40,-65
41,-65
41,-64
42,-65
42,-66
42,-64
43,-66
43,-67
43,-65
44,-65
44,-66
44,-67
45,-66
45,-67
45,-65
46,-66
46,-65
46,-67
47,-65
47,-66
47,-67
48,-65
48,-67
48,-66
49,-65
49,-64
49,-63
49,-66
49,-67
50,-60
50,-54
50,-66
50,-64
50,-55
50,-58
50,-59
50,-63
50,-56
50,-61
50,-57
50,-62
50,-65
51,-43
51,-58
51,-46
51,-45
51,-44
51,-57
51,-49
51,-55
51,-59
51,-56
51,-53
51,-60
51,-52
51,-51
51,-48
51,-47
51,-50
51,-61
51,-54
52,-51
52,-53
52,-52
52,-50
52,-55
52,-43
52,-44
52,-56
52,-45
52,-48
52,-47
52,-46
52,-54
52,-49
52,-42
53,-46
53,-53
53,-52
53,-51
53,-50
53,-49
53,-48
53,-47
53,-55
53,-54
53,-56
53,-44
53,-57
53,-43
53,-45
54,-56
54,-53
54,-55
54,-49
54,-57
54,-54
54,-51
54,-58
54,-52
54,-50
55,-58
55,-59
55,-57
56,-59
56,-58
57,-60
57,-59
57,-58
58,-60
58,-59
58,-58
59,-60
59,-59
59,-58
60,-58
60,-59
60,-60
61,-58
61,-59
62,-58
62,-59
63,-58
63,-57
63,-59
64,-57
64,-59
64,-58
65,-59
65,-57
65,-58
66,-58
66,-57
67,-59
67,-57
67,-58
68,-59
68,-57
68,-58
69,-58
69,-60
69,-59
70,-58
70,-60
70,-61
70,-59
71,-60
71,-61
71,-59
71,-62
72,-63
72,-64
72,-62
72,-61
73,-63
73,-66
73,-64
73,-65
74,-64
74,-66
74,-67
74,-65
75,-68
75,-67
75,-66
76,-67
76,-66
76,-68
77,-65
77,-66
77,-67
78,-66
78,-67
78,-65
79,-64
79,-65
79,-66
80,-66
80,-65
80,-64
81,-65
81,-64
81,-66
82,-64
82,-66
82,-65
83,-65
83,-64
83,-66
84,-64
84,-66
84,-65
85,-66
85,-65
85,-64
86,-64
86,-66
86,-65
87,-65
87,-66
88,-66
88,-67
88,-65
89,-67
89,-66
89,-65
90,-67
90,-65
90,-66
91,-65
91,-67
91,-66
92,-68
92,-67
92,-66
93,-68
93,-66
93,-67
94,-67
94,-66
94,-68
95,-66
95,-68
95,-67
96,-68
96,-66
96,-67
97,-67
97,-66
97,-68
98,-66
98,-67
99,-66
99,-67
100,-66
100,-67
101,-67
101,-66
102,-66
102,-65
102,-67
103,-65
103,-66
103,-67
104,-67
104,-66
105,-67
105,-66
106,-67
106,-66
106,-65
107,-66
107,-67
107,-65
108,-66
108,-67
108,-65
109,-66
109,-67
109,-65
110,-66
110,-65
111,-66
111,-65
112,-66
112,-65
113,-64
113,-65
113,-66
114,-65
114,-66
114,-64
115,-64
115,-65
116,-65
116,-64
117,-65
117,-64
117,-66
118,-65
118,-66
119,-66
119,-67
119,-65
120,-67
120,-66
121,-66
121,-67
122,-66
122,-67
123,-67
123,-66
124,-65
124,-66
124,-67
125,-63
125,-59
125,-61
125,-62
125,-64
125,-67
125,-66
125,-60
125,-65
126,-51
126,-49
126,-59
126,-57
126,-50
126,-47
126,-61
126,-58
126,-54
126,-64
126,-55
126,-60
126,-53
126,-65
126,-56
126,-66
126,-63
126,-46
126,-52
126,-62
126,-48
127,-52
127,-53
127,-55
127,-51
127,-56
127,-57
127,-54
127,-45
127,-50
127,-46
127,-43
127,-49
127,-44
127,-47
127,-48
127,-58
128,-52
128,-44
128,-46
128,-47
128,-48
128,-56
128,-45
128,-53
128,-51
128,-43
128,-49
128,-54
128,-50
128,-55
129,-55
129,-53
129,-54
129,-44
129,-58
129,-50
129,-52
129,-49
129,-57
129,-45
129,-46
129,-47
129,-48
129,-56
129,-51
130,-56
130,-54
130,-53
130,-57
130,-59
130,-58
130,-50
130,-52
130,-51
130,-55
131,-58
131,-59
131,-60
131,-57
131,-56
132,-58
132,-60
132,-59
133,-60
133,-58
133,-59
134,-59
134,-60
134,-61
135,-61
135,-59
135,-60
136,-59
136,-60
136,-58
137,-58
137,-59
137,-60
138,-58
138,-59
138,-60
139,-57
139,-59
139,-58
140,-57
140,-59
140,-58
141,-58
141,-59
141,-57
142,-59
142,-58
142,-57
143,-59
143,-58
143,-57
144,-58
144,-59
144,-57
145,-59
145,-58
145,-60
146,-59
146,-60
146,-61
147,-62
147,-63
147,-61
147,-60
148,-63
148,-62
148,-64
148,-61
149,-65
149,-64
149,-63
149,-66
150,-66
150,-65
150,-67
151,-68
151,-66
151,-67
152,-68
152,-67
152,-66
153,-68
153,-66
153,-67
154,-66
154,-67
154,-65
155,-67
155,-65
155,-66
156,-65
156,-66
157,-65
157,-66
158,-66
158,-65
159,-66
159,-65
160,-66
160,-65
161,-65
161,-66
