Time,Voltage
0,-44
0,-45
3,-62
3,-46
3,-47
3,-63
3,-61
4,-64
4,-47
4,-62
4,-48
4,-46
4,-61
4,-63
4,-60
4,-59
5,-61
5,-47
5,-64
5,-63
5,-60
5,-59
5,-62
5,-46
5,-48
5,-65
6,-59
6,-62
6,-47
6,-61
6,-63
6,-60
6,-65
6,-48
6,-64
7,-65
7,-61
7,-60
7,-48
7,-64
7,-59
7,-47
7,-63
7,-62
8,-63
8,-65
8,-60
8,-47
8,-62
8,-64
8,-59
8,-48
8,-61
9,-62
9,-61
9,-60
9,-48
9,-47
9,-63
9,-64
10,-57
10,-56
10,-48
10,-47
11,-59
11,-57
11,-47
11,-48
11,-56
11,-58
12,-59
12,-58
12,-57
12,-47
12,-60
12,-48
12,-62
12,-61
12,-56
13,-57
13,-59
13,-63
13,-61
13,-48
13,-60
13,-62
13,-58
13,-56
13,-47
14,-47
14,-48
14,-62
14,-58
14,-61
14,-63
14,-60
14,-64
14,-57
14,-59
15,-62
15,-63
15,-48
15,-64
15,-56
15,-59
15,-60
15,-58
15,-47
15,-61
15,-57
16,-47
16,-58
16,-56
16,-63
16,-60
16,-59
16,-48
16,-57
16,-61
16,-62
17,-56
17,-58
17,-48
17,-60
17,-47
17,-59
17,-57
18,-48
18,-57
18,-47
18,-56
18,-58
19,-47
19,-46
19,-48
19,-57
19,-56
20,-56
20,-57
20,-46
20,-48
20,-58
20,-59
20,-64
20,-47
20,-60
20,-63
20,-62
20,-61
21,-64
21,-63
21,-62
21,-56
21,-46
21,-65
21,-57
21,-48
21,-60
21,-47
21,-59
21,-58
21,-61
22,-46
22,-48
22,-47
22,-55
22,-65
22,-56
22,-58
22,-59
22,-60
22,-64
22,-57
22,-63
22,-61
22,-62
23,-58
23,-59
23,-47
23,-55
23,-48
23,-60
23,-61
23,-56
23,-57
23,-62
23,-46
23,-64
23,-63
24,-48
24,-46
24,-58
24,-59
24,-47
24,-57
24,-61
24,-56
24,-63
24,-62
24,-60
25,-56
25,-59
25,-60
25,-46
25,-61
25,-62
25,-47
25,-48
25,-57
25,-58
26,-60
26,-57
26,-48
26,-46
26,-59
26,-56
26,-47
26,-58
27,-58
27,-59
27,-46
27,-57
27,-47
27,-48
28,-47
28,-48
28,-46
29,-47
29,-48
29,-46
30,-48
30,-47
30,-46
31,-46
31,-48
31,-47
32,-47
32,-46
32,-48
33,-46
33,-48
33,-47
34,-47
34,-46
34,-48
35,-48
35,-46
35,-47
36,-47
36,-48
37,-47
37,-48
38,-47
38,-48
39,-47
39,-48
40,-47
40,-46
40,-48
41,-47
41,-46
41,-48
42,-46
42,-48
42,-47
43,-46
43,-47
44,-45
44,-47
44,-46
45,-47
45,-46
46,-48
46,-47
46,-46
47,-47
47,-46
47,-48
48,-47
48,-48
48,-49
49,-48
49,-49
49,-47
50,-48
50,-49
51,-49
51,-48
52,-48
52,-49
53,-48
53,-49
53,-50
54,-51
54,-48
54,-47
54,-49
54,-50
55,-47
55,-50
55,-51
55,-52
55,-49
55,-53
55,-54
55,-48
55,-55
56,-54
56,-48
56,-53
56,-49
56,-50
56,-55
56,-51
56,-52
56,-56
56,-57
57,-56
57,-47
57,-50
57,-51
57,-48
57,-53
57,-49
57,-54
57,-55
57,-57
57,-52
58,-48
58,-49
58,-50
58,-56
58,-46
58,-47
58,-55
58,-51
58,-45
58,-52
58,-44
58,-53
58,-54
58,-43
59,-50
59,-51
59,-48
59,-49
59,-52
59,-41
59,-45
59,-42
59,-43
59,-44
59,-47
59,-46
60,-45
60,-41
60,-44
60,-42
60,-43
61,-41
61,-44
61,-42
61,-43
62,-44
62,-42
62,-43
63,-44
63,-43
63,-42
64,-42
64,-43
64,-44
65,-43
65,-44
65,-42
66,-44
66,-42
66,-43
67,-44
67,-43
67,-42
68,-42
68,-41
68,-43
69,-41
69,-43
69,-42
70,-42
70,-41
71,-41
71,-42
72,-42
72,-41
73,-41
73,-42
74,-41
74,-42
75,-42
75,-41
76,-43
76,-42
76,-41
77,-43
77,-41
77,-42
78,-42
78,-43
78,-44
79,-45
79,-44
79,-42
79,-43
80,-44
80,-46
80,-45
81,-46
81,-45
81,-47
82,-46
82,-45
82,-47
83,-46
83,-47
84,-46
84,-47
85,-47
85,-46
85,-48
86,-48
86,-47
86,-46
87,-47
87,-48
87,-46
88,-48
88,-47
88,-46
89,-47
89,-46
89,-48
90,-46
90,-48
90,-47
91,-46
91,-47
91,-48
92,-46
92,-48
92,-47
93,-47
93,-48
93,-46
94,-47
94,-48
94,-46
95,-47
95,-48
95,-46
96,-48
96,-47
96,-46
97,-46
97,-48
97,-47
98,-47
98,-48
98,-46
99,-46
99,-47
99,-48
100,-46
100,-47
100,-48
101,-47
101,-48
101,-46
102,-48
102,-47
102,-46
103,-46
103,-47
103,-48
104,-46
104,-47
104,-48
105,-46
105,-48
105,-47
106,-47
106,-46
106,-48
107,-46
107,-48
107,-47
108,-46
108,-47
108,-48
109,-47
109,-48
109,-46
110,-47
110,-48
110,-46
111,-47
111,-46
111,-48
112,-47
112,-48
112,-46
113,-46
113,-47
113,-48
114,-48
114,-46
114,-47
115,-46
115,-47
115,-48
116,-47
116,-48
116,-46
117,-46
117,-48
117,-47
118,-48
118,-47
118,-46
119,-47
119,-46
119,-45
120,-45
120,-46
120,-47
121,-45
121,-46
121,-47
122,-47
122,-45
122,-46
123,-45
123,-46
123,-47
124,-46
124,-47
125,-48
125,-47
125,-46
126,-47
126,-46
126,-48
127,-47
127,-48
128,-48
128,-47
129,-48
129,-47
130,-49
130,-47
130,-48
131,-49
131,-47
131,-48
132,-47
132,-50
132,-48
132,-49
132,-46
133,-52
133,-49
133,-50
133,-54
133,-51
133,-55
133,-47
133,-48
133,-53
134,-50
134,-49
134,-52
134,-48
134,-56
134,-55
134,-54
134,-51
134,-53
134,-47
135,-56
135,-51
135,-45
135,-50
135,-47
135,-49
135,-52
135,-54
135,-48
135,-46
135,-53
135,-55
136,-45
136,-51
136,-52
136,-44
136,-43
136,-47
136,-42
136,-48
136,-49
136,-54
136,-46
136,-50
136,-53
137,-47
137,-41
137,-44
137,-45
137,-46
137,-42
137,-43
138,-44
138,-42
138,-41
138,-43
138,-45
139,-44
139,-41
139,-43
139,-42
140,-43
140,-42
141,-43
141,-42
142,-42
142,-43
143,-43
143,-42
144,-43
144,-42
145,-41
145,-43
145,-42
146,-41
146,-43
146,-42
147,-42
147,-41
148,-41
148,-42
149,-42
149,-41
150,-42
150,-41
151,-41
151,-42
152,-42
152,-41
153,-42
153,-41
154,-42
154,-41
154,-43
155,-41
155,-42
155,-43
156,-43
156,-44
156,-42
157,-44
157,-45
157,-43
158,-45
158,-44
158,-46
159,-47
159,-45
159,-46
160,-47
160,-46
161,-46
161,-47
162,-46
162,-48
162,-47
163,-48
163,-47
163,-46
164,-47
164,-46
165,-45
165,-46
165,-47
166,-45
166,-47
166,-46
167,-46
167,-45
167,-47
168,-45
168,-46
168,-47
169,-47
169,-45
169,-46
170,-45
170,-46
170,-47
171,-46
171,-45
171,-47
172,-46
172,-47
172,-45
173,-46
173,-47
173,-45
174,-45
174,-46
174,-47
175,-45
175,-46
175,-47
176,-46
176,-47
176,-45
177,-46
177,-45
177,-47
178,-46
178,-47
179,-47
179,-46
180,-47
180,-46
181,-47
181,-46
182,-46
182,-47
183,-46
183,-47
184,-46
184,-47
185,-45
185,-46
185,-47
186,-47
186,-45
186,-46
187,-47
187,-45
187,-46
188,-47
188,-45
188,-46
189,-47
189,-45
189,-46
190,-46
190,-47
190,-45
