Time,Voltage
0,-43
1,-41
1,-32
1,-21
1,-31
1,-30
1,-14
1,-29
1,-28
1,-15
1,-27
1,-26
1,-16
1,-25
1,-24
1,-17
1,-23
1,-18
1,-22
1,-19
1,-33
1,-34
1,-20
1,-35
1,-40
1,-42
1,-43
1,-44
1,-38
1,-13
1,-37
1,-39
1,-36
2,-21
2,-40
2,-33
2,-22
2,-35
2,-42
2,-23
2,-32
2,-43
2,-24
2,-30
2,-41
2,-25
2,-39
2,-26
2,-34
2,-38
2,-27
2,-36
2,-28
2,-37
2,-29
2,-44
2,-31
2,-12
2,-17
2,-16
2,-19
2,-14
2,-18
2,-20
2,-13
2,-15
3,-14
3,-15
3,-12
3,-13
4,-12
4,-13
5,-12
5,-13
6,-12
6,-13
7,-12
7,-13
8,-12
8,-13
9,-13
9,-12
10,-13
10,-12
11,-12
11,-13
12,-12
12,-13
13,-12
13,-13
14,-13
14,-12
15,-12
15,-14
15,-13
16,-15
16,-13
16,-16
16,-12
16,-14
17,-36
17,-43
17,-44
17,-37
17,-38
17,-42
17,-39
17,-41
17,-20
17,-30
17,-24
17,-15
17,-25
17,-40
17,-26
17,-14
17,-27
17,-28
17,-29
17,-13
17,-16
17,-23
17,-31
17,-32
17,-33
17,-22
17,-34
17,-18
17,-21
17,-35
17,-19
17,-17
18,-44
18,-38
18,-39
18,-40
18,-43
18,-41
18,-37
18,-33
18,-34
18,-36
18,-35
18,-42
21,-46
22,-45
22,-46
22,-47
22,-53
22,-54
22,-55
22,-56
22,-58
22,-57
22,-61
22,-60
22,-59
23,-58
23,-57
23,-53
23,-45
23,-56
23,-55
23,-54
23,-60
23,-47
23,-61
23,-46
23,-59
24,-46
24,-45
24,-56
24,-59
24,-60
24,-58
24,-53
24,-61
24,-55
24,-57
24,-54
25,-44
25,-53
25,-61
25,-60
25,-55
25,-46
25,-54
25,-45
26,-43
26,-44
26,-45
26,-53
26,-54
27,-61
27,-56
27,-60
27,-55
27,-59
27,-57
27,-45
27,-53
27,-43
27,-44
27,-54
27,-58
28,-53
28,-60
28,-54
28,-55
28,-57
28,-59
28,-61
28,-45
28,-44
28,-43
28,-56
28,-58
29,-57
29,-56
29,-43
29,-53
29,-54
29,-60
29,-55
29,-58
29,-45
29,-44
29,-59
29,-61
30,-43
30,-44
30,-45
30,-54
31,-46
31,-44
31,-45
32,-46
32,-47
32,-45
32,-44
33,-47
33,-46
33,-45
34,-48
34,-46
34,-47
35,-46
35,-48
35,-47
36,-46
36,-47
36,-48
37,-48
37,-46
37,-47
38,-46
38,-47
38,-49
38,-48
39,-47
39,-51
39,-49
39,-46
39,-48
39,-50
39,-52
