Time,Voltage
0,-31
1,-41
1,-42
1,-31
1,-30
2,-31
2,-41
2,-30
2,-45
2,-42
2,-43
2,-44
3,-41
3,-43
3,-31
3,-46
3,-45
3,-30
3,-44
3,-32
3,-42
3,-47
4,-47
4,-30
4,-31
4,-44
4,-41
4,-42
4,-43
4,-48
4,-46
4,-49
4,-45
4,-32
5,-31
5,-33
5,-46
5,-45
5,-48
5,-43
5,-42
5,-47
5,-30
5,-32
5,-49
5,-44
6,-44
6,-47
6,-48
6,-49
6,-33
6,-46
6,-42
6,-32
6,-31
6,-45
6,-43
7,-41
7,-45
7,-32
7,-47
7,-44
7,-42
7,-33
7,-46
7,-43
8,-43
8,-44
8,-33
8,-41
8,-32
8,-34
8,-42
9,-34
9,-42
9,-32
9,-33
9,-41
9,-43
10,-42
10,-33
10,-43
10,-44
10,-41
10,-34
11,-46
11,-43
11,-41
11,-48
11,-42
11,-45
11,-33
11,-49
11,-47
11,-44
11,-34
12,-48
12,-49
12,-47
12,-45
12,-46
12,-42
12,-43
12,-44
12,-33
12,-34
12,-41
13,-49
13,-35
13,-33
13,-50
13,-34
13,-42
13,-44
13,-45
13,-48
13,-41
13,-47
13,-46
13,-43
14,-48
14,-32
14,-41
14,-34
14,-50
14,-45
14,-33
14,-42
14,-46
14,-47
14,-35
14,-43
14,-44
14,-49
15,-42
15,-40
15,-45
15,-36
15,-49
15,-48
15,-34
15,-35
15,-41
15,-47
15,-43
15,-44
15,-46
15,-26
15,-32
15,-27
15,-30
15,-28
15,-31
15,-29
15,-33
16,-29
16,-46
16,-30
16,-45
16,-37
16,-38
16,-40
16,-32
16,-48
16,-41
16,-31
16,-35
16,-43
16,-42
16,-26
16,-50
16,-27
16,-28
16,-34
16,-44
16,-33
16,-39
16,-49
16,-47
16,-36
17,-53
17,-29
17,-32
17,-33
17,-47
17,-39
17,-59
17,-30
17,-41
17,-48
17,-58
17,-35
17,-42
17,-57
17,-49
17,-52
17,-51
17,-45
17,-34
17,-31
17,-50
17,-54
17,-40
17,-37
17,-44
17,-36
17,-28
17,-55
17,-27
17,-56
17,-43
17,-26
17,-46
17,-38
18,-46
18,-49
18,-56
18,-52
18,-39
18,-57
18,-42
18,-48
18,-45
18,-58
18,-41
18,-40
18,-51
