Time,Voltage
0,-53
0,-69
0,-68
0,-67
1,-70
1,-69
1,-66
1,-68
1,-67
1,-53
2,-70
2,-69
2,-68
2,-67
2,-66
2,-65
2,-52
2,-53
2,-71
3,-66
3,-65
3,-68
3,-52
3,-69
3,-53
3,-70
3,-67
3,-71
4,-66
4,-70
4,-65
4,-71
4,-69
4,-52
4,-67
4,-53
4,-68
4,-51
5,-51
5,-70
5,-66
5,-71
5,-65
5,-67
5,-69
5,-68
5,-53
5,-52
6,-70
6,-52
6,-68
6,-71
6,-67
6,-51
6,-53
6,-69
6,-66
7,-70
7,-68
7,-67
7,-51
7,-69
7,-53
7,-52
8,-63
8,-64
8,-53
8,-52
8,-51
9,-62
9,-63
9,-52
9,-64
9,-65
9,-66
9,-53
9,-51
10,-51
10,-69
10,-62
10,-63
10,-68
10,-53
10,-67
10,-52
10,-65
10,-66
10,-64
11,-64
11,-52
11,-68
11,-63
11,-65
11,-67
11,-66
11,-53
11,-51
11,-69
11,-70
12,-70
12,-53
12,-52
12,-63
12,-68
12,-67
12,-69
12,-64
12,-66
12,-51
12,-65
13,-69
13,-68
13,-67
13,-53
13,-51
13,-65
13,-66
13,-64
13,-63
13,-52
13,-70
14,-67
14,-51
14,-66
14,-64
14,-62
14,-53
14,-65
14,-52
14,-68
14,-63
15,-52
15,-62
15,-53
15,-64
15,-51
15,-65
15,-63
16,-52
16,-50
16,-64
16,-51
16,-62
16,-63
17,-64
17,-62
17,-52
17,-50
17,-51
17,-70
17,-63
18,-67
18,-69
18,-65
18,-70
18,-64
18,-52
18,-62
18,-71
18,-51
18,-68
18,-63
18,-66
18,-50
19,-64
19,-71
19,-51
19,-65
19,-63
19,-70
19,-50
19,-69
19,-66
19,-62
19,-67
19,-52
19,-68
20,-68
20,-62
20,-70
20,-71
20,-67
20,-50
20,-64
20,-63
20,-69
20,-51
20,-66
20,-65
21,-66
21,-67
21,-62
21,-71
21,-69
21,-63
21,-70
21,-65
21,-50
21,-51
21,-64
21,-68
22,-70
22,-68
22,-69
22,-65
22,-50
22,-51
22,-63
22,-62
22,-64
22,-67
22,-66
22,-71
23,-66
23,-50
23,-64
23,-63
23,-68
23,-62
23,-71
23,-51
23,-69
23,-67
23,-70
23,-65
24,-63
24,-71
24,-64
24,-68
24,-67
24,-70
24,-66
24,-65
24,-50
24,-51
24,-69
25,-51
25,-70
25,-69
25,-50
26,-51
26,-50
27,-51
27,-50
28,-50
28,-51
29,-50
29,-51
30,-51
30,-50
31,-50
31,-51
32,-51
32,-50
33,-51
33,-50
34,-51
34,-50
34,-52
35,-51
35,-50
35,-52
36,-51
36,-52
36,-50
37,-51
37,-52
38,-53
38,-52
38,-51
39,-51
39,-52
39,-53
40,-54
40,-52
40,-53
41,-52
41,-54
41,-53
42,-52
42,-53
42,-54
43,-52
43,-53
43,-54
44,-54
44,-52
44,-53
45,-53
45,-52
45,-51
46,-53
46,-50
46,-51
46,-52
47,-51
47,-50
47,-52
48,-49
48,-51
48,-50
49,-49
49,-51
49,-50
50,-51
50,-49
50,-50
51,-51
51,-50
51,-49
52,-49
52,-50
52,-51
53,-52
53,-53
53,-51
53,-50
53,-49
54,-53
54,-52
54,-54
54,-55
54,-51
54,-49
54,-50
54,-56
55,-56
55,-61
55,-64
55,-55
55,-54
55,-63
55,-52
55,-57
55,-51
55,-62
55,-53
55,-58
55,-60
55,-59
56,-55
56,-64
56,-58
56,-62
56,-56
56,-59
56,-57
56,-61
56,-60
56,-63
57,-58
57,-56
57,-61
57,-55
57,-62
57,-60
57,-63
57,-57
57,-59
58,-57
58,-55
58,-59
58,-58
58,-54
58,-56
59,-54
59,-55
59,-56
60,-55
60,-54
61,-55
61,-54
62,-54
62,-55
63,-54
63,-55
64,-54
64,-55
65,-54
65,-56
65,-55
66,-55
66,-54
66,-56
67,-55
67,-56
68,-55
68,-56
69,-55
69,-56
70,-55
70,-56
70,-57
71,-57
71,-56
72,-56
72,-57
73,-56
73,-57
74,-56
74,-55
74,-57
75,-55
75,-57
75,-56
76,-54
76,-55
76,-56
77,-54
77,-53
77,-55
77,-56
78,-55
78,-53
78,-54
78,-52
79,-52
79,-53
79,-54
80,-53
80,-54
80,-52
81,-53
81,-52
82,-52
82,-53
82,-51
83,-53
83,-51
83,-52
84,-53
84,-52
84,-51
85,-52
85,-53
85,-51
86,-51
86,-52
86,-53
87,-52
87,-53
87,-51
88,-53
88,-51
88,-52
89,-53
89,-51
89,-52
90,-53
90,-51
90,-52
91,-53
91,-51
91,-52
92,-53
92,-51
92,-52
93,-53
93,-51
93,-52
94,-52
94,-53
94,-51
95,-52
95,-51
95,-53
96,-53
96,-51
96,-52
97,-52
97,-53
97,-51
98,-51
98,-52
98,-50
99,-52
99,-51
99,-50
100,-51
100,-52
100,-50
101,-51
101,-50
101,-52
102,-51
102,-52
103,-51
103,-52
103,-53
104,-51
104,-53
104,-52
105,-52
105,-51
105,-53
106,-52
106,-51
106,-53
107,-51
107,-52
107,-53
108,-51
108,-52
108,-53
109,-53
109,-51
109,-52
110,-52
110,-51
110,-53
111,-53
111,-52
111,-51
112,-52
112,-51
112,-53
113,-51
113,-53
113,-52
114,-53
114,-52
114,-51
115,-51
115,-53
115,-52
116,-51
116,-52
116,-53
117,-52
117,-54
117,-53
118,-52
118,-54
118,-53
119,-53
119,-54
119,-52
120,-53
120,-54
120,-52
121,-52
121,-53
121,-54
122,-53
122,-52
123,-53
123,-52
123,-51
124,-51
124,-52
125,-50
125,-51
125,-52
126,-50
126,-51
127,-51
127,-50
128,-50
128,-51
129,-52
129,-50
129,-51
130,-52
130,-50
130,-51
130,-49
131,-51
131,-50
131,-54
131,-53
131,-52
131,-49
132,-56
132,-53
132,-57
132,-62
132,-51
132,-52
132,-49
132,-58
132,-50
132,-60
132,-55
132,-59
132,-54
132,-61
133,-61
133,-57
133,-58
133,-62
133,-63
133,-64
133,-56
133,-55
133,-59
133,-60
134,-63
134,-60
134,-58
134,-57
134,-62
134,-59
134,-56
134,-61
134,-55
135,-55
135,-60
135,-56
135,-59
135,-61
135,-58
135,-57
136,-56
136,-54
136,-57
136,-55
137,-54
137,-55
137,-56
138,-53
138,-55
138,-54
139,-55
139,-54
139,-53
140,-55
140,-53
140,-54
141,-55
141,-53
141,-54
142,-55
142,-54
143,-55
143,-54
143,-56
144,-54
144,-56
144,-55
145,-55
145,-54
145,-56
146,-55
146,-56
147,-55
147,-56
147,-57
148,-57
148,-55
148,-56
149,-57
149,-56
149,-55
150,-55
150,-56
150,-57
151,-55
151,-56
151,-57
152,-55
152,-56
152,-57
153,-56
153,-54
153,-55
154,-53
154,-56
154,-55
154,-54
155,-54
155,-55
155,-53
155,-52
156,-54
156,-52
156,-53
157,-53
157,-52
158,-52
158,-53
158,-51
159,-52
159,-53
159,-51
160,-52
160,-53
160,-51
161,-53
161,-52
161,-51
162,-52
162,-53
162,-51
163,-53
163,-51
163,-52
164,-52
164,-51
164,-53
165,-52
165,-51
165,-53
166,-52
166,-53
166,-51
167,-52
167,-51
167,-53
168,-52
168,-51
168,-53
169,-51
169,-53
169,-52
170,-53
170,-52
170,-51
171,-51
171,-52
172,-50
172,-52
172,-51
173,-50
173,-52
173,-51
174,-51
174,-50
175,-51
175,-50
176,-51
176,-50
177,-50
177,-51
178,-50
178,-51
179,-50
179,-51
180,-51
180,-50
181,-51
181,-50
182,-51
182,-50
183,-51
183,-50
184,-51
184,-50
185,-50
185,-51
186,-50
186,-51
186,-52
187,-50
187,-51
187,-52
188,-50
188,-51
188,-52
189,-51
189,-52
190,-51
190,-52
190,-53
